Title,Views,Upload Date,Likes,Comments,Duration,Hashtags
"Learn Web Development and Make $78,000/y",229000,4 years ago,11000,513,"5 minutes, 15 seconds",N/A
Mosh's Christmas Gift to You!,85000,4 years ago,2600,265,38 seconds,N/A
What is Git? Explained in 2 Minutes!,651000,4 years ago,23000,404,"2 minutes, 40 seconds",#Git
Python Machine Learning Tutorial (Data Science),3100000,4 years ago,71000,1933,"49 minutes, 43 seconds",#Python #AI #MachineLearning
Python for Beginners - Learn Coding with Python in 1 Hour,21000000,4 years ago,497000,24816,"1 hour, 6 seconds",#Python #AI #MachineLearning #WebDevelopment
Git Tutorial for Beginners: Learn Git in 1 Hour,2800000,4 years ago,53000,1434,"1 hour, 9 minutes, 13 seconds",#git #devops #coding #softwaredevelopment
Flutter vs React Native - Will Flutter Kill React Native?,418000,4 years ago,11000,952,"4 minutes, 50 seconds",N/A
What Is React Native & Why Is It So Popular?,260000,4 years ago,7900,250,"4 minutes, 51 seconds",N/A
Insertion Sort Algorithm Made Simple [Sorting Algorithms],324000,4 years ago,6600,172,"8 minutes, 26 seconds",N/A
Bubble Sort in Plain English,176000,4 years ago,4300,172,"11 minutes, 35 seconds",N/A
React Native Tutorial for Beginners - Build a React Native App,3400000,4 years ago,52000,2030,"2 hours, 6 minutes, 30 seconds",#reactnative #reactjs #javascript #coding #programming
Redux Tutorial - Learn Redux from Scratch,1100000,4 years ago,24000,1032,"1 hour, 34 minutes, 53 seconds",N/A
Top Programming Languages in 2020,1100000,5 years ago,28000,1575,"8 minutes, 8 seconds",N/A
Design Patterns in Plain English | Mosh Hamedani,1400000,5 years ago,28000,632,"1 hour, 20 minutes, 1 second",#coding #designpatterns
Why I Left My Job as a Senior Software Engineer,479000,5 years ago,25000,1720,"2 minutes, 30 seconds",N/A
Jingle Bells Piano (Jazz) | Christmas Music,29000,5 years ago,1200,79,"1 minute, 17 seconds",N/A
Mosh's Christmas Present to You (2019),154000,5 years ago,2900,204,"1 minute, 33 seconds",N/A
Data Structures and Algorithms for Beginners,1900000,5 years ago,40000,733,"1 hour, 18 minutes, 43 seconds",#ComputerScience #Coding #Programming
New Course: Data Structures & Algorithms [Part 2],39000,5 years ago,836,111,"2 minutes, 40 seconds",N/A
New Course: Data Structures and Algorithms Course,84000,5 years ago,2600,268,"2 minutes, 32 seconds",N/A
Java Full Course for Beginners,12000000,5 years ago,282000,8345,"2 hours, 30 minutes, 48 seconds",#Java #ComputerScience #Coding
React vs Angular vs Vue: What to Choose for Your Next Project,195000,5 years ago,5200,351,"11 minutes, 40 seconds",#React #Angular #Vue
React vs Angular vs Vue: What to Learn to Get a Front-end Job,459000,5 years ago,7800,337,"7 minutes, 39 seconds",#React #Angular #Vue
SQL Course for Beginners [Full Course],12000000,6 years ago,267000,9677,"3 hours, 10 minutes, 19 seconds",#programming #coding
Python Full Course for Beginners,44000000,6 years ago,1100000,59735,"6 hours, 14 minutes, 7 seconds",#Python #AI #MachineLearning #WebDevelopment
How to Learn to Code and Make $60k+ a Year,2300000,6 years ago,96000,5939,"9 minutes, 47 seconds",N/A
Mosh's Xmas Present 2018,69000,6 years ago,1800,198,"1 minute, 4 seconds",N/A
Python Practice - Interview Question - Fizz Buzz | Mosh,98000,6 years ago,1800,115,"6 minutes, 15 seconds",N/A
How to Sort Lists in Python - Python Tutorial for Absolute Beginners | Mosh,110000,6 years ago,1700,27,"6 minutes, 54 seconds",N/A
Map and Filter Functions in Python - Python Tutorial for Absolute Beginners | Mosh,65000,6 years ago,1200,26,"5 minutes, 59 seconds",N/A
What are Sets in Python? Python Tutorial for Absolute Beginners | Mosh,100000,6 years ago,2100,48,"4 minutes, 31 seconds",N/A
Mosh's Black Friday Sales (2018),233000,6 years ago,841,107,56 seconds,N/A
Python Stacks - Python Tutorial for Absolute Beginners | Mosh,161000,6 years ago,2800,64,"4 minutes, 51 seconds",N/A
Python Variables - Python Tutorial for Beginners with Examples | Mosh,212000,6 years ago,3300,76,"6 minutes, 36 seconds",N/A
How to Use Strings in Python - Python Tutorial for Beginners,261000,6 years ago,4300,90,"16 minutes, 46 seconds",N/A
How to Use Lists in Python,351000,6 years ago,6300,108,"18 minutes, 49 seconds",N/A
Control Flow in Python - If Elif Else Statements,326000,6 years ago,5700,169,"16 minutes, 8 seconds",N/A
Python Functions | Python Tutorial for Absolute Beginners #1,1000000,6 years ago,18000,426,"30 minutes, 34 seconds",N/A
Python For Loops - Python Tutorial for Absolute Beginners,680000,6 years ago,11000,312,"14 minutes, 42 seconds",N/A
Python Exercises for Beginners - Exercise #1,367000,6 years ago,5200,211,"2 minutes, 18 seconds",N/A
How to Loop over Lists in Python,154000,6 years ago,1600,35,"3 minutes, 21 seconds",N/A
Stop Wasting Your Time and Money at Universities!,1100000,6 years ago,8500,887,"2 minutes, 47 seconds",N/A
What is Python? Why Python is So Popular?,2000000,6 years ago,66000,887,"4 minutes, 7 seconds",N/A
Learn Python Programming - Python Course,1000000,6 years ago,16000,714,"1 hour, 48 minutes, 5 seconds",N/A
Python Tutorials for Beginners - Learn Python Online,1100000,6 years ago,20000,857,"2 hours, 25 minutes, 54 seconds",N/A
React JS - React Tutorial for Beginners,6200000,6 years ago,93000,4997,"2 hours, 25 minutes, 27 seconds",#react #webdevelopment #programming
ES6 Tutorial: Learn Modern JavaScript in 1 Hour,1000000,6 years ago,21000,666,"50 minutes, 5 seconds",N/A
What Is React (React js) & Why Is It So Popular?,899000,6 years ago,17000,248,"4 minutes, 33 seconds",N/A
My Brand New JavaScript Course,44000,6 years ago,473,22,"1 minute, 44 seconds",N/A
JavaScript Bitwise Operators,105000,6 years ago,2600,83,"9 minutes, 26 seconds",N/A
JavaScript Let vs Var vs Constant | Mosh,300000,6 years ago,6200,189,"6 minutes, 51 seconds",N/A
JavaScript Array Reduce,348000,6 years ago,8800,376,"7 minutes, 42 seconds",N/A
JavaScript Array Map,371000,6 years ago,4900,97,"8 minutes, 46 seconds",N/A
JavaScript Array Filter,196000,6 years ago,3000,69,"3 minutes, 45 seconds",N/A
JavaScript Template Literals,135000,6 years ago,2600,81,"5 minutes, 51 seconds",N/A
JavaScript Strings,142000,6 years ago,1600,21,"7 minutes, 24 seconds",N/A
JavaScript this Keyword,479000,6 years ago,11000,545,"8 minutes, 21 seconds",N/A
JavaScript Cloning an Object,89000,6 years ago,1300,36,"5 minutes, 20 seconds",N/A
JavaScript Scope (Local vs Global),62000,6 years ago,1100,32,"5 minutes, 43 seconds",N/A
JavaScript Value vs Reference Types,105000,6 years ago,2300,68,"6 minutes, 48 seconds",N/A
JavaScript Functions,463000,6 years ago,7800,178,"5 minutes, 38 seconds",N/A
JavaScript Getters and Setters | Mosh,251000,6 years ago,6500,271,"6 minutes, 37 seconds",N/A
JavaScript Arrays,313000,6 years ago,3500,70,"5 minutes, 16 seconds",N/A
JavaScript Loops,451000,6 years ago,8200,245,"6 minutes, 49 seconds",N/A
JavaScript Constructor Functions,258000,6 years ago,4400,124,"6 minutes, 47 seconds",N/A
JavaScript Factory Functions,162000,6 years ago,2300,53,"6 minutes, 43 seconds",N/A
JavaScript if else (tutorial),365000,6 years ago,4700,102,"6 minutes, 22 seconds",N/A
What is JavaScript?,875000,6 years ago,12000,131,"5 minutes, 12 seconds",N/A
JavaScript Course for Beginners – Your First Step to Web Development,13000000,6 years ago,239000,7329,"48 minutes, 17 seconds",#coding #javascript #webdevelopment
Object-oriented Programming in JavaScript: Made Super Simple | Mosh,2000000,7 years ago,43000,1033,"1 hour, 2 minutes, 49 seconds",N/A
"Object-Oriented Programming, Simplified",4300000,7 years ago,106000,1469,"7 minutes, 34 seconds",N/A
How to build a REST API with Node js & Express,1800000,7 years ago,29000,935,"58 minutes, 40 seconds",N/A
Node.js Tutorial for Beginners: Learn Node in 1 Hour,6100000,7 years ago,96000,2642,"1 hour, 18 minutes, 16 seconds",#nodejs #javascript #coding
HTTP Module in Node.js,96000,7 years ago,1300,24,"8 minutes, 8 seconds",N/A
Extending the Event Emitter,40000,7 years ago,645,25,"8 minutes, 45 seconds",N/A
Event Arguments,24000,7 years ago,301,10,"3 minutes, 52 seconds",N/A
Events and Event Emitter in Node.js,130000,7 years ago,2700,92,"7 minutes, 1 second",N/A
OS Module in Node.js,27000,7 years ago,301,9,"5 minutes, 1 second",N/A
Path Module in Node.js,60000,7 years ago,578,7,"4 minutes, 51 seconds",N/A
Module Wrapper Function,45000,7 years ago,440,6,"5 minutes, 23 seconds",N/A
Loading (Requiring) a Module in Node.js,37000,7 years ago,421,11,"6 minutes, 5 seconds",N/A
Creating a Module in Node.js,80000,7 years ago,795,17,"5 minutes, 26 seconds",N/A
Modules in Node.js,82000,7 years ago,929,9,"4 minutes, 19 seconds",N/A
Globals in Node.js,56000,7 years ago,543,13,"4 minutes, 4 seconds",N/A
Your First Node App,55000,7 years ago,483,14,"3 minutes, 3 seconds",N/A
Installing Node.js,77000,7 years ago,519,19,"3 minutes, 14 seconds",N/A
How Node.js Works | Mosh,352000,7 years ago,6500,136,"5 minutes, 7 seconds",N/A
Node.js Architecture | Mosh,169000,7 years ago,2400,43,"3 minutes, 45 seconds",N/A
What is Node js?,921000,7 years ago,12000,150,"3 minutes, 43 seconds",N/A
What is a REST API?,797000,7 years ago,18000,287,"6 minutes, 5 seconds",N/A
$50 All-Access Mosh in 2018,128000,7 years ago,1000,220,57 seconds,N/A
What is MVVM (Model-View-ViewModel) Pattern?,338000,7 years ago,2600,108,"10 minutes, 8 seconds",N/A
C# Access Modifiers: What They Are and Why We Need Them,115000,7 years ago,1500,34,"11 minutes, 17 seconds",N/A
C# Interfaces Explained in Simple Terms | Mosh,255000,7 years ago,2400,97,"5 minutes, 4 seconds",N/A
C# Methods Tutorial | Mosh,122000,7 years ago,1300,46,"24 minutes, 29 seconds",N/A
C# Fields Tutorial,82000,7 years ago,928,13,"9 minutes, 51 seconds",N/A
C# Constructors Tutorial | Mosh,248000,7 years ago,4000,159,"23 minutes, 24 seconds",N/A
C# Object Initializers Tutorial,74000,7 years ago,840,21,"2 minutes, 49 seconds",N/A
C# Classes Tutorial | Mosh,297000,7 years ago,3700,118,"14 minutes, 25 seconds",N/A
Unit Testing C# Code - Tutorial for Beginners,626000,7 years ago,8400,235,"44 minutes, 56 seconds",N/A
[NEW COURSE] Unit Testing for C# Developers,11000,7 years ago,97,18,"1 minute, 51 seconds",N/A
Angular 4 in 40 Minutes,30000,7 years ago,487,21,"39 minutes, 39 seconds",N/A
Routing and Navigation in Angular | Mosh,286000,7 years ago,3800,102,"24 minutes, 32 seconds",N/A
Directives in Angular Applications,184000,7 years ago,2500,71,"25 minutes, 13 seconds",N/A
Building Forms in Angular Apps | Mosh,421000,7 years ago,5900,196,"25 minutes, 4 seconds",N/A
Deploying Angular Applications | Mosh,127000,7 years ago,1800,51,"27 minutes, 7 seconds",N/A
Firebase in Angular Applications | Mosh,145000,7 years ago,2300,141,"26 minutes, 53 seconds",N/A
Angular Animations Tutorial | Mosh,158000,7 years ago,2500,82,"32 minutes, 59 seconds",N/A
Angular Material Tutorial | Mosh,267000,7 years ago,3600,107,"36 minutes, 19 seconds",N/A
AngularJS vs Angular 2 vs Angular 4 | Mosh,83000,7 years ago,1500,41,"4 minutes, 15 seconds",N/A
Angular Tutorial for Beginners: Learn Angular & TypeScript,4600000,7 years ago,65000,2388,"2 hours, 2 minutes, 42 seconds",#angular #webdevelopment #programming
TypeScript Properties,11000,7 years ago,124,3,"5 minutes, 59 seconds",N/A
TypeScript Constructors,24000,7 years ago,287,9,"3 minutes, 33 seconds",N/A
TypeScript Classes,14000,7 years ago,147,2,"5 minutes, 12 seconds",N/A
TypeScript Interfaces,30000,7 years ago,472,13,"4 minutes, 35 seconds",N/A
Access Modifiers in TypeScript,21000,7 years ago,269,7,"3 minutes, 37 seconds",N/A
TypeScript Tutorial - TypeScript for React - Learn TypeScript,608000,7 years ago,10000,384,"51 minutes, 33 seconds",#javascript #react
